,county_name,Shape_Leng,SHAPE_Area,physically_unhealthy_days,mentally_unhealthy_days,air_quality_score_rating,food_environment_index,percent_poor_health,life_expectancy,percent_physical_distress,percent_mental_distress,allowable_count
82,SCOTLAND,490723.650263,8946986652.91,5.0806136291,4.7568595199,10.2,5.6,24.397278139,74.114778903,16.332613703,15.481604804000002,7920
83,STANLY,547225.909819,11277091742.6,3.8844061920999997,4.0355329275,10.5,8.0,16.468114249,75.806001719,11.962191445,12.584144043,0
84,STOKES,453428.400721,12710872868.0,3.9060380778,4.1079247455,9.8,7.9,14.949750544,75.991569099,11.798716827,12.506709281,0
85,SURRY,572712.492642,15037999001.9,4.3031613414,4.5196172977,9.6,8.1,18.945609764,75.177122213,13.303494199000001,14.022947786,0
86,SWAIN,844511.048543,15053801551.3,4.8181160131,4.7550984842,8.4,8.0,21.405758274,73.270509705,15.264442973,15.375920622999999,0
87,TRANSYLVANIA,538288.198094,10602172583.9,4.0562388206,4.0807201637,8.7,8.1,16.32592321,80.215375093,12.365371922000001,12.899642292000001,0
88,TYRRELL,696935.292909,16978646865.6,4.6864883299,4.4057244485,7.9,6.3,23.023572917,78.270262736,15.077784187,14.433063506,0
89,UNION,583549.613686,17831934809.2,3.55617727,3.7338203996,10.9,8.6,13.910283688,79.692419786,10.673817655,11.293316456,0
90,VANCE,389430.502761,7523871764.2,4.7571807619,4.5744838895,10.0,6.2,23.880031144,73.383002476,15.16927393,14.819169645999999,0
91,WAKE,711224.841117,23870662601.0,3.2818029256,3.463126103,11.0,8.0,13.391759885,81.623908609,10.026010502,10.787134305999999,0
92,WARREN,494502.320681,12360938481.3,4.5676015352,4.4180294966,9.7,6.4,22.941932206,76.965757055,14.612719225,14.306943165,0
93,WASHINGTON,481253.712706,11569100636.3,4.6914009950999995,4.54142224,8.6,5.4,23.914689554000002,76.204897246,14.863668737000001,14.617046638,0
94,WATAUGA,438062.624795,8713572255.03,4.3106074611,4.5564770338,8.3,7.3,18.005719240999998,82.04846048600001,13.646595437,14.476612023,0
95,WAYNE,573331.446435,15527790010.1,4.5547539421,4.4574759231,10.7,6.6,20.757448702999998,76.143496714,14.238152295,14.018984932999999,0
96,WILKES,710310.736471,21156832622.4,4.2755274879,4.2954937235,9.6,7.6,17.578168147,76.45383510399999,13.309091128,13.773587529,0
97,WILSON,434953.318022,10432224100.5,4.4363187483,4.3726535038,10.7,6.9,21.263677217,75.854356566,13.778560457000001,13.790906765,0
98,YADKIN,451978.193755,9415165397.5,4.1439862743,4.2476568086,9.9,8.4,17.355597654,77.026845765,12.846680099999999,13.338376063,0
99,YANCEY,534556.633098,8727005104.99,4.3362821380000005,4.3946948051,8.6,8.1,18.178353644,78.36297287800001,13.318758631,13.791327177000001,0
